,Date,Price,Open,High,Low,Volume,ChangePercentFromLastMonth
295,02/27/2023,23494.1,23558.7,23876.2,23166.8,297.65K,-0.27
296,02/26/2023,23558.7,23166.1,23671.8,23066.0,209.12K,1.69
297,02/25/2023,23166.1,23191.3,23215.3,22777.4,198.35K,-0.11
298,02/24/2023,23191.5,23936.4,24123.4,22970.3,367.99K,-3.11
299,02/23/2023,23936.3,24186.6,24590.4,23637.9,417.46K,-1.03
300,02/22/2023,24186.6,24450.7,24474.3,23593.4,400.24K,-1.08
301,02/21/2023,24450.7,24839.5,25236.8,24160.8,395.97K,-1.57
302,02/20/2023,24839.5,24302.8,25085.4,23868.6,363.02K,2.21
303,02/19/2023,24302.9,24631.3,25175.2,24273.7,312.64K,-1.33
304,02/18/2023,24631.4,24573.5,24838.9,24457.0,223.77K,0.24
305,02/17/2023,24573.5,23538.2,24984.7,23373.0,523.85K,4.39
306,02/16/2023,23539.6,24328.1,25233.8,23525.9,484.50K,-3.24
307,02/15/2023,24327.9,22198.5,24330.9,22050.8,401.53K,9.59
308,02/14/2023,22198.5,21776.9,22308.6,21556.2,378.39K,1.96
309,02/13/2023,21772.6,21782.7,21887.5,21418.7,312.04K,-0.07
310,02/12/2023,21786.8,21859.9,22080.7,21653.1,211.65K,-0.33
311,02/11/2023,21859.8,21627.4,21902.9,21605.3,182.07K,1.04
312,02/10/2023,21635.0,21792.5,21933.6,21491.7,352.79K,-0.72
313,02/09/2023,21792.5,22964.6,23003.6,21744.6,425.44K,-5.1
314,02/08/2023,22964.6,23251.7,23425.1,22691.7,289.12K,-1.23
315,02/07/2023,23251.7,22761.8,23338.8,22748.2,318.98K,2.15
316,02/06/2023,22761.8,22936.0,23130.6,22633.7,278.58K,-0.76
317,02/05/2023,22936.0,23326.9,23423.4,22766.5,217.26K,-1.66
318,02/04/2023,23323.8,23431.2,23571.8,23269.8,170.27K,-0.46
319,02/03/2023,23431.2,23429.1,23694.1,23233.8,349.36K,0.02
320,02/02/2023,23427.6,23726.2,24207.2,23398.1,382.86K,-1.26
321,02/01/2023,23725.6,23124.7,23784.5,22809.6,333.18K,2.6
322,01/31/2023,23125.1,22832.2,23262.9,22724.9,289.38K,1.28
323,01/30/2023,22832.2,23746.0,23794.0,22560.0,339.62K,-3.88
324,01/29/2023,23753.1,23023.5,23952.9,22973.3,320.86K,3.15
325,01/28/2023,23027.9,23074.6,23182.3,22889.8,156.96K,-0.2
326,01/27/2023,23074.6,23016.0,23480.3,22602.9,310.36K,0.25
327,01/26/2023,23016.0,23055.2,23259.5,22869.0,320.97K,-0.17
328,01/25/2023,23055.1,22632.5,23779.0,22366.3,388.18K,1.87
329,01/24/2023,22632.5,22916.3,23156.1,22517.1,334.17K,-1.23
